r,w
5.902.258.123,3.887.568.019
5.964.598.717,3.807.916.767
6.029.973.201,3.731.084.406
6.098.380.702,3.657.021.881
6.169.822.565,3.585.680.345
6.244.302.185,3.517.011.385
6.321.824.841,3.450.967.226
6.402.397.534,3.387.500.916
6.486.028.823,3.326.566.508
6.572.728.656,3.268.119.214
6.662.508.212,3.212.115.557
6.755.379.727,315.851.351
6.851.356.328,3.107.272.626
6.950.451.858,3.058.354.154
7.052.680.697,3.011.721.163
715.805.758,2.967.338.643
7.266.597.403,2.925.173.616
737.831.503,288.519.523
7.493.225.084,2.847.374.865
7.611.341.733,2.811.686.226
7.732.678.461,2.778.105.438
7.857.247.835,2.746.611.146
7.985.061.247,2.717.184.611
8.116.128.657,2.689.809.809
8.250.458.304,266.447.353
8.388.056.415,2.641.165.493
8.528.926.881,2.619.878.444
8.673.070.929,260.060.828
8.820.486.757,2.583.354.166
8.971.169.153,2.568.118.664
9.125.109.093,2.554.907.866
9.282.293.301,2.543.731.537
9.442.703.789,2.534.603.272
9.606.317.363,2.527.540.648
9.773.105.096,2.522.565.403
9.943.031.765,2.519.703.617
1.011.605.525,2.518.985.902
1.029.212.591,2.520.447.609
1.047.118.586,252.412.905
1.065.316.832,2.530.075.719
1.083.799.675,2.538.338.546
1.102.558.413,2.548.974.143
1.121.583.201,256.204.508
1.140.862.964,2.577.620.162
1.160.385.296,2.595.774.723
118.013.636,2.616.590.928
1.200.100.781,2.640.158.086
1.220.261.525,2.666.572.971
1.240.599.789,2.695.940.143
1.261.094.869,2.728.372.274
1.281.724.034,2.763.990.474
1.302.462.389,2.802.924.601
1.323.282.742,2.845.313.565
1.344.155.452,2.891.305.603
1.365.048.295,2.941.058.533
1.385.926.309,2.994.739.953
1.406.751.654,30.525.274
1.427.483.464,3.114.608.428
1.448.077.707,3.181.180.608
1.468.487.055,3.252.451.414
1.488.660.753,3.328.637.983
1.508.544.512,340.996.672
1.528.080.414,3.496.672.713
1.547.206.841,3.588.998.932
1.565.858.428,3.687.195.171
1.583.966.053,3.791.516.694
1.601.456.865,3.902.222.545
1.618.254.366,4.019.573.473
1.634.278.535,4.143.829.415
1.649.446.034,4.275.246.518
1.663.670.473,4.414.073.612
1.676.862.768,4.560.548.128
1.688.931.584,471.489.139
1.699.783.886,487.730.327
1.709.325.595,5.047.956.181
171.746.236,5.226.988.408
1.724.100.451,5.414.496.779
1.729.147.783,5.610.528.758
173.251.505,5.815.073.988
1.734.116.985,6.028.055.449
1.733.873.728,6.249.320.343
1.731.712.278,6.478.630.944
1.727.568.023,6.715.655.635
1.721.386.304,6.959.960.449
171.312.399,7.211.001.456
1.702.751.012,7.468.118.363
1.690.251.812,773.052.975
1.675.626.656,7.997.330.358
1.658.892.757,8.267.490.837
1.640.085.136,8.539.860.328
16.192.572,8.813.172.211
1.596.480.953,9.086.053.228
1.571.846.827,9.357.036.113
1.545.463.094,9.624.575.683
1.517.454.855,9.887.068.225
1.487.962.602,101.428.738
1.457.140.396,1.039.034.095
142.515.368,1.062.783.318
1.392.176.812,108.537.563
1.358.390.378,1.106.658.588
132.397.837,1.126.489.377
1.289.125.343,1.144.737.287
1.254.013.611,1.161.285.915
1.218.820.602,1.176.035.036
1.183.716.433,1.188.902.071
114.886.178,1.199.823.113
1.114.406.088,1.208.753.504
1.080.486.157,1.215.667.942
1.047.225.123,1.220.560.164
1.014.731.813,1.223.442.219
9.831.004.805,1.224.343.395
952.410.866,1.223.308.854
9.227.285.597,1.220.398.044
89.410.561,1.215.682.948
8.665.813.311,1.209.246.248
8.401.832.599,1.201.179.447
8.149.282.145,1.191.581.017
7.908.234.114,1.180.554.616
7.678.676.023,1.168.207.397
7.460.521.998,1.154.648.457
7.253.623.647,1.139.987.436
7.057.780.365,1.124.333.263
6.872.748.915,1.107.793.086
6.698.252.196,109.047.135
6.533.987.156,1.072.469.043
6.379.631.823,1.053.883.086
6.234.851.474,1.034.805.862
6.099.303.975,1.015.324.873
5.972.644.343,9.955.225.048
585.452.858,9.754.758.888
5.744.616.864,9.552.568.517
5.642.576.139,9.349.319.322
5.548.082.193,9.145.624.587
